
2020-07-02T22:02;19594;8;205207;5.9 mio
2020-07-03T00:06;19590;22;205091;5.9 mio
2020-07-03T06:02;19609;49;205296;5.9 mio
2020-07-03T12:03;20633;1402;205682;6.0 mio
2020-07-03T18:02;20577;1403;205843;6.1 mio
2020-07-04T00:06;20517;3;205862;5.9 mio
2020-07-04T06:03;20511;3;205980;5.9 mio
2020-07-04T12:02;20527;236;206126;6.0 mio
2020-07-04T18:02;20541;260;206264;6.0 mio
2020-07-05T00:06;20548;0;206264;5.8 mio
2020-07-05T06:02;20548;3;206296;5.8 mio
2020-07-05T12:03;20479;218;206444;5.9 mio
2020-07-05T18:02;20486;230;206652;6.0 mio
2020-07-06T00:06;20433;14;206176;5.9 mio
